column,type,kl_divergence,js_divergence,wasserstein_distance
LIMIT_BAL,continuous,0.3104980794107526,0.26200510910497765,21327.725550136078
SEX,categorical,0.000281033894882687,0.008388546556913089,0.023266666662013435
EDUCATION,categorical,0.3128483069035756,0.13377310196497041,0.31253333311456
MARRIAGE,categorical,0.2189767020922656,0.07033053944561524,0.07933333330159995
AGE,continuous,0.7042173857241172,0.31626041524678705,2.7366494642687758
PAY_0,categorical,10.684231318317527,0.6099605561802616,1.1250647667697953
PAY_2,categorical,10.08179770568268,0.5940262230729881,1.0790649189052177
PAY_3,categorical,10.077069602160023,0.596095833308624,1.093798204311488
PAY_4,categorical,9.568137975416846,0.5807707065613629,1.0371983852895537
PAY_5,categorical,0.03271310702634772,0.07937982233029925,0.06353333326979999
PAY_6,categorical,0.06000986014347265,0.0797687661043184,0.10606666656059996
BILL_AMT1,continuous,0.07244336260084917,0.1393347978487661,16306.73902825092
BILL_AMT2,continuous,0.1042808818309806,0.15758953340652068,19154.58783269645
BILL_AMT3,continuous,0.04680581289664536,0.11199062559378921,18225.809189802978
BILL_AMT4,continuous,0.06559522500895748,0.12826305066389673,16843.471529380433
BILL_AMT5,continuous,0.10114491826394059,0.15390164659048172,18604.51062609427
BILL_AMT6,continuous,0.1319020242456096,0.17739829917651304,16928.830010313955
PAY_AMT1,continuous,0.05439645360809456,0.08293854509150012,1588.448526168994
PAY_AMT2,continuous,0.025006214277163374,0.05572997243504035,1859.1062667138135
PAY_AMT3,continuous,0.011762175933636322,0.04991750585903385,1317.7357251373296
PAY_AMT4,continuous,0.028802286763407778,0.06800170050036974,1374.7518999491044
PAY_AMT5,continuous,0.035201392889910685,0.0898417044388693,901.6076829045919
PAY_AMT6,continuous,0.03551423158569983,0.07822734419550355,1569.8316267197536
